metrics:	ochiai	ochiai2	tarantula	barinel	opt	dstar	meco	sgf_1	sgf_2	fo1	fo2	fo3	fo4	fo5	fo6	fo7	fo8	fo9	fo10	fo12	fo13	fo14	fo15	fo16	fo17	fo19	fo20	fo21	fo22	
Jsoup-72	C-2.0	C-2.0	C-2.0	C-2.0	C-1.0	C-2.0	C-1.0	C-2.0	C-1.0	C-1.0	C-2.0	C-1.0	C-1.0	C-1.0	C-1.0	C-2.0	C-2.0	C-12.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-2.0	C-1.0	C-1.0	C-1.0	C-1.0	
Jsoup-73	C-2.0	C-2.0	C-2.0	C-2.0	C-2.0	C-1.0	C-1.0	C-2.0	C-2.0	C-1.0	C-2.0	C-1.0	C-1.0	C-1.0	C-1.0	C-2.0	C-2.0	C-305.0	C-305.0	C-1.0	C-305.0	C-173.0	C-173.0	C-1.0	C-2.0	C-173.0	C-173.0	C-302.0	C-305.0	
Jsoup-74	C-25.0	C-25.0	C-25.0	C-25.0	C-25.0	C-25.0	C-25.0	C-25.0	C-25.0	C-1.0	C-27.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-27.0	C-45.0	C-48.0	C-1.0	C-48.0	C-51.0	C-51.0	C-1.0	C-1.0	C-51.0	C-51.0	C-52.0	C-48.0	
Jsoup-75	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	27.0	26.0	107.0	109.0	1.0	2.0	27.0	26.0	218.0	215.0	107.0	215.0	111.0	111.0	107.0	104.0	111.0	111.0	213.0	215.0	
Jsoup-76	C-83.0	C-83.0	C-83.0	C-83.0	C-83.0	C-83.0	C-83.0	C-83.0	C-83.0	C-1.0	C-59.0	C-43.0	C-43.0	C-1.0	C-1.0	C-2.0	C-59.0	C-1.0	C-13.0	C-43.0	C-13.0	C-62.0	C-62.0	C-43.0	C-44.0	C-62.0	C-62.0	C-21.0	C-13.0	
Jsoup-77	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	18.0	20.0	1.0	2.0	5.0	4.0	261.0	258.0	18.0	258.0	104.0	104.0	18.0	15.0	104.0	104.0	256.0	258.0	
Jsoup-78	33.0	33.0	33.0	33.0	72.0	32.0	32.0	33.0	33.0	1.0	33.0	55.0	55.0	2.0	1.0	2.0	33.0	211.0	212.0	55.0	212.0	32.0	33.0	55.0	57.0	33.0	33.0	213.0	212.0	
Jsoup-79	1.0	1.0	1.0	1.0	14.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	2.0	2.0	1.0	1.0	326.0	325.0	1.0	325.0	137.0	136.0	1.0	1.0	136.0	136.0	323.0	325.0	
Jsoup-80	2.0	2.0	2.0	2.0	15.0	2.0	2.0	2.0	3.0	3.0	3.0	6.0	9.0	2.0	2.0	3.0	2.0	290.0	287.0	6.0	287.0	79.0	79.0	6.0	4.0	79.0	78.0	285.0	287.0	
Jsoup-81	2.0	2.0	2.0	2.0	15.0	2.0	2.0	2.0	3.0	3.0	2.0	6.0	8.0	2.0	2.0	3.0	2.0	364.0	361.0	6.0	361.0	203.0	202.0	6.0	3.0	203.0	203.0	359.0	361.0	
Jsoup-82	C-1.0	C-1.0	C-1.0	C-1.0	C-13.0	C-1.0	C-1.0	C-1.0	C-2.0	C-1.0	C-1.0	C-1.0	C-1.0	C-2.0	C-1.0	C-1.0	C-1.0	C-280.0	C-277.0	C-1.0	C-277.0	C-147.0	C-136.0	C-1.0	C-1.0	C-147.0	C-136.0	C-276.0	C-277.0	
Jsoup-83	146.0	163.0	154.0	158.0	128.0	142.0	166.0	146.0	157.0	105.0	71.0	203.0	211.0	2.0	3.0	105.0	71.0	145.0	136.0	205.0	139.0	95.0	128.0	208.0	198.0	95.0	128.0	133.0	141.0	
Jsoup-84	C-1.0	C-1.0	C-1.0	C-1.0	C-12.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-2.0	C-1.0	C-1.0	C-2.0	C-1.0	C-1.0	C-1.0	C-317.0	C-316.0	C-1.0	C-316.0	C-131.0	C-131.0	C-1.0	C-1.0	C-131.0	C-130.0	C-315.0	C-316.0	
Jsoup-85	2.0	2.0	2.0	2.0	5.0	2.0	2.0	2.0	2.0	4.0	5.0	16.0	16.0	2.0	2.0	4.0	5.0	9.0	11.0	16.0	11.0	9.0	7.0	16.0	18.0	9.0	7.0	11.0	11.0	
Jsoup-86	3.0	3.0	3.0	3.0	14.0	3.0	3.0	3.0	3.0	4.0	4.0	10.0	12.0	2.0	2.0	4.0	4.0	287.0	284.0	10.0	284.0	81.0	80.0	10.0	7.0	81.0	80.0	280.0	284.0	
Jsoup-87	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	1.0	1.0	1.0	1.0	2.0	5.0	37.0	27.0	1.0	27.0	10.0	10.0	1.0	3.0	10.0	10.0	10.0	27.0	
Jsoup-88	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	7.0	6.0	45.0	46.0	1.0	2.0	7.0	6.0	284.0	281.0	45.0	281.0	108.0	108.0	45.0	42.0	108.0	108.0	279.0	281.0	
